start
time Gaze_x    Gaze_y    Contents
348   0.847726510747179 0.50977397161023    8
349   0.842124999909174 0.507742973044174    8
350   0.844433395073224 0.510346718398864    8
351   0.83980228868802 0.486929796901677    8
352   0.848416669325161 0.504334066854199    8
353   0.846233021246462 0.499445808545261    8
354   0.844605141035686 0.508225873930087    8
355   0.85119698864321 0.497172620799802    8
356   0.846526241918014 0.498145995603522    8
357   0.842352365609599 0.50947771783035    8
358   0.842769802888597 0.511474236371328    8
359   0.838560217393706 0.500538770512208    8
360   0.851290434404632 0.492321707305905    8
361   0.847667972561453 0.479689427723315    8
362   0.850565921476004 0.50186084582208    8
363   0.847574174636179 0.503463300499561    8
364   0.848295680501451 0.506544373455313    8
365   0.846359430915868 0.489777430625281    8
366   0.845341812324364 0.496588507788147    8
367   0.838462512861952 0.49936842368129    8
368   0.843149438885462 0.508654285513103    8
369   0.842991093892806 0.49867188886094    8
370   0.880439431705781 0.511981043973833    8
371   0.895991248957557 0.505320204989289    8
372   0.901954754910889 0.525876289715711    8
373   0.894831331875821 0.51740689065889    8
374   0.892499762694456 0.533912597829271    8
375   0.897472720786482 0.535025479735054    8
376   0.898015132284399 0.526205476953464    8
377   0.905509754325863 0.532655510206382    8
378   0.898565565625745 0.535118021779113    8
379   0.893282684698193 0.543200703810726    8
380   0.895900215572851 0.519465151534291    8
381   0.898189903782281 0.53727643103241    8
382   0.901062179309861 0.513882984049928    8
0   0.712876746098118 0.430543594859955    7
1   0.672749313273698 0.441171396145592    7
2   0.681086969949433 0.433033641255406    7
3   0.663121359692354 0.475187631459107    7
4   0.652213818374889 0.46604982520762    7
5   0.660882388529785 0.474951882468531    7
6   0.665837484284225 0.475499106145548    7
7   0.659432738120927 0.478068548166334    7
8   0.662041543107762 0.463232321772239    7
9   0.658361530086154 0.494773429403267    7
10   0.658459288984886 0.492642623213783    7
11   0.654639261578836 0.498131721957975    7
12   0.660324314174773 0.49794581996025    7
13   0.653580978815967 0.500477315674971    7
14   0.658956388013166 0.500211983134022    7
15   0.658606728968039 0.490335910715658    7
16   0.656837349194689 0.491190009581373    7
17   0.654824961805161 0.49556036065303    7
18   0.650760926089561 0.491867649934306    7
19   0.658789105929714 0.502195177857971    7
20   0.654317511096565 0.501121126627368    7
21   0.65639459211684 0.496469369805709    7
22   0.655688085240513 0.500093319545613    7
23   0.654127511395359 0.499781440816605    7
24   0.658318969231573 0.496961745068347    7
25   0.651409964246 0.490087110035802    7
26   0.651883372863608 0.495894082230279    7
27   0.658092923091772 0.496505484090108    7
28   0.652456439977982 0.493873976551072    7
29   0.660240298876715 0.492845899213648    7
30   0.658589701528854 0.49757034746051    7
31   0.730740344880587 0.495892181532213    7
0   0.83304640008339 0.500909108438918    8
1   0.826654896232867 0.490468528622159    8
2   0.840339169953154 0.494132659008301    8
3   0.833330496306644 0.484186034272511    8
4   0.841397292898364 0.490778157201248    8
5   0.824153590072683 0.489484869122634    8
6   0.853307560193457 0.484693634019436    8
7   0.849213721385468 0.468673141257796    8
8   0.84703462322102 0.490967865248308    8
9   0.848115828424852 0.465956182942818    8
10   0.852897051137461 0.483832680950627    8
11   0.849199935187812 0.479817149936366    8
12   0.852104068281506 0.493361206605186    8
13   0.848661196483931 0.495056967168125    8
14   0.843332372427312 0.497561158082362    8
15   0.848832760053369 0.483188996243143    8
16   0.850092958754658 0.470075762668898    8
17   0.849270630401634 0.478044680662492    8
18   0.849001437514858 0.469620444227758    8
19   0.877420109457603 0.480755159453906    8
20   0.882799224499763 0.499042428450593    8
21   0.886060384298275 0.489477827280666    8
22   0.878239759358962 0.498413928576042    8
23   0.877658403014379 0.485279414740944    8
24   0.87594940678764 0.497435045403222    8
25   0.881157192370324 0.508696655942572    8
26   0.88678299882622 0.476906003831232    8
27   0.883933150258599 0.510920746794795    8
28   0.876546479015474 0.496281998160612    8
29   0.880639821633963 0.473921905476004    8
30   0.923980777895736 0.48604754455107    8
31   0.95406779448399 0.510714105276861    8
32   0.941847015188159 0.503296142583508    8
33   0.951563548932768 0.501570639936062    8
34   0.950985534697566 0.510329295703286    8
35   0.950613718681893 0.508447918173943    8
36   0.948380213883183 0.519567608604348    8
37   0.950301897044028 0.498455893468986    8
38   0.94607563906527 0.505797959434858    8
39   0.939120420792506 0.502334808512614    8
40   0.946338728579235 0.520556183480267    8
41   0.947182813514814 0.519418784082859    8
42   0.893959480762419 0.526399004095993    8
0   0.745039146190493 0.506732576882314    7
1   0.674354297061541 0.495516011296331    7
2   0.677820722432898 0.483908682913466    7
3   0.676433022952779 0.500022460119112    7
4   0.675210599454658 0.519509279432214    7
5   0.67624706177503 0.483369049982684    7
